fall_year,spring_year,year_str,geo_id_b2020,geo_nm_b2020,grade,count,basez
2024,2025,2024-2025,3.7063E+14,Block 1000,-2,2,0
2023,2024,2023-2024,3.7063E+14,Block 1000,-1,1,0
2020,2021,2020-2021,3.7063E+14,Block 1000,0,1,1
2023,2024,2023-2024,3.7063E+14,Block 1000,0,1,0
2024,2025,2024-2025,3.7063E+14,Block 1000,0,2,2
2021,2022,2021-2022,3.7063E+14,Block 1000,1,2,2
2024,2025,2024-2025,3.7063E+14,Block 1000,1,3,3
2021,2022,2021-2022,3.7063E+14,Block 1000,2,1,1
2024,2025,2024-2025,3.7063E+14,Block 1000,2,2,2
2020,2021,2020-2021,3.7063E+14,Block 1000,3,2,0
2020,2021,2020-2021,3.7063E+14,Block 1000,4,2,0
2021,2022,2021-2022,3.7063E+14,Block 1000,4,3,1
2022,2023,2022-2023,3.7063E+14,Block 1000,4,1,1
2023,2024,2023-2024,3.7063E+14,Block 1000,4,1,1
2024,2025,2024-2025,3.7063E+14,Block 1000,4,1,0
2020,2021,2020-2021,3.7063E+14,Block 1000,5,1,0
2021,2022,2021-2022,3.7063E+14,Block 1000,5,1,0
2022,2023,2022-2023,3.7063E+14,Block 1000,5,1,0
2023,2024,2023-2024,3.7063E+14,Block 1000,5,1,1
2024,2025,2024-2025,3.7063E+14,Block 1000,5,2,1
2021,2022,2021-2022,3.7063E+14,Block 1000,6,1,0
2023,2024,2023-2024,3.7063E+14,Block 1000,6,1,1
2024,2025,2024-2025,3.7063E+14,Block 1000,6,1,1
2020,2021,2020-2021,3.7063E+14,Block 1000,7,1,1
2022,2023,2022-2023,3.7063E+14,Block 1000,7,1,0
2024,2025,2024-2025,3.7063E+14,Block 1000,7,1,1
2020,2021,2020-2021,3.7063E+14,Block 1000,8,2,2
2021,2022,2021-2022,3.7063E+14,Block 1000,8,1,1
2023,2024,2023-2024,3.7063E+14,Block 1000,8,1,0
2024,2025,2024-2025,3.7063E+14,Block 1000,8,1,0
2020,2021,2020-2021,3.7063E+14,Block 1000,9,3,2
2021,2022,2021-2022,3.7063E+14,Block 1000,9,5,4
2022,2023,2022-2023,3.7063E+14,Block 1000,9,1,1
2023,2024,2023-2024,3.7063E+14,Block 1000,9,2,2
2024,2025,2024-2025,3.7063E+14,Block 1000,9,1,1
2020,2021,2020-2021,3.7063E+14,Block 1000,10,1,1
2021,2022,2021-2022,3.7063E+14,Block 1000,10,1,0
2022,2023,2022-2023,3.7063E+14,Block 1000,10,3,2
2024,2025,2024-2025,3.7063E+14,Block 1000,10,2,2
2020,2021,2020-2021,3.7063E+14,Block 1000,11,2,1
2021,2022,2021-2022,3.7063E+14,Block 1000,11,1,1
2022,2023,2022-2023,3.7063E+14,Block 1000,11,1,0
2023,2024,2023-2024,3.7063E+14,Block 1000,11,1,1
2024,2025,2024-2025,3.7063E+14,Block 1000,11,1,1
2021,2022,2021-2022,3.7063E+14,Block 1000,12,2,1
2022,2023,2022-2023,3.7063E+14,Block 1000,12,1,1
2023,2024,2023-2024,3.7063E+14,Block 1000,12,1,0
2024,2025,2024-2025,3.7063E+14,Block 1000,12,1,1
2022,2023,2022-2023,3.7063E+14,Block 1001,5,1,1
2022,2023,2022-2023,3.7063E+14,Block 1001,6,1,1
2020,2021,2020-2021,3.7063E+14,Block 1001,8,1,0
2024,2025,2024-2025,3.7063E+14,Block 1001,8,2,2
2020,2021,2020-2021,3.7063E+14,Block 1001,9,1,1
2021,2022,2021-2022,3.7063E+14,Block 1001,9,1,1
2022,2023,2022-2023,3.7063E+14,Block 1001,9,1,1
2020,2021,2020-2021,3.7063E+14,Block 1001,10,1,1
2021,2022,2021-2022,3.7063E+14,Block 1001,10,1,0
2022,2023,2022-2023,3.7063E+14,Block 1001,10,1,1
2024,2025,2024-2025,3.7063E+14,Block 1001,10,1,1
2021,2022,2021-2022,3.7063E+14,Block 1001,11,1,1
