GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
Geography,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
1400000US37063000101,Census Tract 1.01; Durham County; North Carolina,1503,188,6.9,4.8,0.3,0.6,9.7,5.9,3.3,2.3,8.8,5.1,12.2,6.1,14.9,8,24,10.3,9.8,6.4,10,6.1,87446,13993,102728,14792,40.1,(X),(X),(X),(X),(X),951,197,7.9,8.6,0,4.4,4.9,5.5,3.2,3.1,4,3.6,10.1,7.6,10.1,6.3,34,14.1,10.6,7.7,15.2,9.4,111367,19584,118790,20434,(X),(X),27.4,(X),(X),(X),650,183,0,6.3,0,6.3,0,6.3,1.2,2.3,2,2.9,8,6,10.3,7.7,43.4,18,15.5,10.5,19.5,12.7,136800,30766,N,N,(X),(X),(X),(X),(X),(X),552,170,12.5,10.2,0.9,1.8,17,10.4,4.5,4.3,10.5,8.9,15.9,11,22.1,17.2,6.9,6,8.5,10.1,1.1,1.9,59100,22428,62997,14959,(X),(X),(X),(X),50.2,(X)
1400000US37063000102,Census Tract 1.02; Durham County; North Carolina,1639,144,2.6,2.3,5.2,5.2,6.7,4.7,12.6,7.4,15.4,6.4,16.7,6.3,15.6,5.4,15.4,7.1,2.7,2.6,7,3.9,63633,15621,78264,10089,28.3,(X),(X),(X),(X),(X),746,122,0.5,1,4,5.8,4.6,4.9,11.3,8.1,15,9,16,10,18.6,9.1,15,8.7,5.9,5.6,9.1,6.5,67016,29117,89084,14462,(X),(X),33.6,(X),(X),(X),456,137,0.9,1.7,0,8.9,0,8.9,0,8.9,22.1,12.1,17.3,12.2,11.8,8.1,23.2,13.3,9.6,9,14.9,10.2,94444,34893,N,N,(X),(X),(X),(X),(X),(X),893,142,4.4,3.9,6.3,8.6,10.9,8.3,13.8,11.8,15.7,10.6,17.4,8.8,14.3,8.2,14.4,11.4,0,4.6,2.9,2.9,49455,15966,63447,13301,(X),(X),(X),(X),19.1,(X)
1400000US37063000200,Census Tract 2; Durham County; North Carolina,1222,168,2.2,2.6,7.3,7.2,11.1,7.2,4.1,4.5,12.5,6.8,14.4,7.8,10.8,7.2,19.2,9.8,6.1,3.5,12.3,7.1,69643,27803,93259,17770,30.8,(X),(X),(X),(X),(X),668,184,2.5,4.3,12.6,12.7,7.9,8.1,4.5,4.5,9.9,7.4,18.7,12.8,12.1,10.2,12,7.9,6.3,4.8,13.5,8.8,59873,24311,90914,22186,(X),(X),35.8,(X),(X),(X),348,132,0,11.5,21,22.6,0,11.5,2.6,4.7,2.3,4.2,9.2,11.6,8.9,10.1,20.4,14.6,9.8,9.3,25.9,15.4,101544,41282,N,N,(X),(X),(X),(X),(X),(X),554,142,1.8,3.3,0.9,1.8,15,15.7,5.6,8.9,15.7,12.5,9.2,6.9,11.9,9.5,26,18.9,5.8,5.7,8.1,11,77941,55772,90331,29584,(X),(X),(X),(X),21.7,(X)
1400000US37063000301,Census Tract 3.01; Durham County; North Carolina,1601,352,1.4,1.6,4.3,4.1,12.9,12.9,5.9,3.7,12.7,10,27,10,13.8,6.1,8.6,4.1,3.7,3.3,9.6,5.3,58680,3610,84465,16879,25.9,(X),(X),(X),(X),(X),535,110,2.1,3.2,0,7.6,3.7,5.2,3.4,5,5,4.7,26.4,12.4,18.1,12.3,3,3.3,11.2,9.7,27.1,12.2,81776,10837,139238,25926,(X),(X),29,(X),(X),(X),394,109,0,10.2,0,10.2,1,1.7,1.8,5.2,0,10.2,35.8,16.1,12.4,11,2.5,3.9,12.2,11.7,34.3,14,-,**,N,N,(X),(X),(X),(X),(X),(X),1066,367,1.1,1.9,6.5,6.3,17.4,18.1,7.1,5.3,16.6,14.7,27.4,13.8,11.6,6,11.4,6.3,0,3.9,0.8,1.3,50570,13916,56478,11091,(X),(X),(X),(X),24.4,(X)
1400000US37063000302,Census Tract 3.02; Durham County; North Carolina,1690,200,3.6,3.2,5.2,7.2,3,2.4,6.7,7.5,7.7,5.8,15.4,6.5,12.2,5.7,13.1,6,8.1,3.8,25,8.8,86775,17947,146916,27498,31.5,(X),(X),(X),(X),(X),957,188,5.5,5.8,8,12,0,4.3,7.3,11.9,2,2.3,6.8,6.8,7.9,4.6,13.7,8.7,13.5,6.8,35.2,11.5,142917,56010,186372,42718,(X),(X),27.9,(X),(X),(X),580,128,0,7.1,0,7.1,0,7.1,0,7.1,1.9,3.1,5.7,5.1,5.2,5,8.4,8.3,20.7,9.6,58.1,13,237955,50108,N,N,(X),(X),(X),(X),(X),(X),733,133,3.8,4.1,1.5,2.2,4,3.7,6,7.1,16.2,12.7,26.6,10.5,19.4,12.3,11.7,6.5,2.9,2.8,7.9,8.6,64757,12911,88083,24929,(X),(X),(X),(X),29.5,(X)
1400000US37063000401,Census Tract 4.01; Durham County; North Carolina,1163,118,0,3.6,7.3,6.7,5.8,4.1,2.5,2.3,5.2,4.8,10.2,6.1,8.3,4.8,29,8.4,15,5.8,16.7,6.5,114661,14450,127394,17579,26.6,(X),(X),(X),(X),(X),692,99,0,6,2.7,4.7,3.9,4.2,1.6,2.6,1.9,2.9,10.8,9.5,5.6,5.8,24.6,9.9,24.1,9.6,24.7,8.9,148667,31271,155929,22539,(X),(X),19.7,(X),(X),(X),608,97,0,6.7,0,6.7,0,6.7,1.8,3,2.1,3.3,8.9,9.4,6.4,6.6,25.2,10.5,27.5,10.5,28.1,9.5,167750,32822,N,N,(X),(X),(X),(X),(X),(X),471,121,0,8.6,14,14.7,12.5,9.4,3.8,4.3,10.2,10.7,9.3,7,8.3,6.7,35.5,14.9,1.5,2.4,4.9,6.2,77574,45785,82753,19996,(X),(X),(X),(X),36.7,(X)
1400000US37063000402,Census Tract 4.02; Durham County; North Carolina,1650,199,17.9,6.1,6.2,3.9,8.1,4.9,5.8,4.2,19.2,9.5,8.8,4.3,7.7,3.7,9.5,5.1,5.1,3.4,11.7,4.8,45763,6620,79638,12430,20.6,(X),(X),(X),(X),(X),354,92,0,11.3,0,11.3,2,3.7,9,13.5,9.6,13.9,15.5,12.6,10.2,9.1,17.2,10.6,10.7,10,25.7,11.3,110962,34487,154781,36671,(X),(X),17.8,(X),(X),(X),261,66,0,15,0,15,2.7,4.9,0,15,0,15,13.8,14.4,13.8,11.2,23.4,13.8,14.6,13.3,31.8,14,143173,56227,N,N,(X),(X),(X),(X),(X),(X),1296,189,22.8,7.9,7.9,5,9.7,6.2,4.9,3.8,21.8,11,6.9,4.2,7,4.4,7.4,5.6,3.5,3,7.9,5.3,41009,12576,59113,14253,(X),(X),(X),(X),21.4,(X)
1400000US37063000500,Census Tract 5; Durham County; North Carolina,1506,168,8.7,4.5,7.2,4.8,14.9,7.1,14.5,5.9,10.4,5.5,13.7,5.6,4.2,3.2,13.9,6.6,4.2,2.9,8.2,5.1,42000,12296,71482,12969,38.4,(X),(X),(X),(X),(X),620,151,0,6.6,1.5,2,11.3,9.6,23.1,12,14,11.2,7.9,6.2,6.1,6.9,22.6,12.7,3.2,3.7,10.3,6.8,52625,39173,90208,21366,(X),(X),41.9,(X),(X),(X),290,110,0,13.6,0,13.6,7.9,12,17.2,16.8,7.9,12,5.2,6.3,2.8,4.3,30,21.8,6.9,8,22.1,12.9,127636,63356,N,N,(X),(X),(X),(X),(X),(X),886,159,14.8,7,11.2,7.9,17.5,9.5,8.5,5.1,10,5.6,17.8,8.4,2.8,2.7,6.5,4.9,4.1,4.2,6.8,6.9,32639,10763,56721,15738,(X),(X),(X),(X),35.9,(X)
1400000US37063000600,Census Tract 6; Durham County; North Carolina,2337,436,3.1,3.3,1.6,2.4,9.7,11.3,5.2,4.6,14.2,7.5,16,11.8,6.6,4.2,18.1,8,7.8,4.8,17.7,7.8,75208,31872,135991,29189,19,(X),(X),(X),(X),(X),1014,184,2.1,3.6,3.7,5.2,0,4.1,7.5,7.3,7.4,10.5,7.2,5.3,10.1,8.2,17.1,7.3,11.7,9.6,33.2,14.4,130000,50542,183966,47111,(X),(X),31.8,(X),(X),(X),867,165,0,4.8,0,4.8,0,4.8,4.6,6.4,8.7,12,4.8,5.5,11.8,9.6,20,8.1,11.3,10,38.9,16.7,152813,60332,N,N,(X),(X),(X),(X),(X),(X),1323,435,3.9,5.1,0,3.2,17.2,19.9,6.1,7.2,16.7,11.2,23.4,19.9,3.9,5,18.2,12.2,4.8,4.8,5.7,5.4,69871,42291,98474,33461,(X),(X),(X),(X),9.3,(X)
1400000US37063000700,Census Tract 7; Durham County; North Carolina,2090,209,7.6,4.9,4.1,2.8,15.2,6.1,4.5,3.2,4.3,3.2,10.6,5.6,12,4.9,16.7,6.6,7,3.7,17.9,5.8,80000,15747,130601,22409,34.4,(X),(X),(X),(X),(X),796,156,5,7,0,5.2,8.5,6.8,0.6,1.2,0,5.2,4.1,4.3,8.7,6.9,13.9,8.5,13.7,9.1,45.4,11.8,178788,52322,243366,49602,(X),(X),31,(X),(X),(X),686,136,0,6,0,6,7,7.2,0,6,0,6,2.8,3.6,10.1,7.9,11.7,9.7,15.9,10,52.6,13.7,218192,50692,N,N,(X),(X),(X),(X),(X),(X),1294,192,9.2,5.7,6.6,4.5,19.3,9.4,7,5.2,6.9,5.1,14.5,8.4,14.1,7,18.5,8.3,3.8,3.1,0.2,0.7,50929,20898,60027,9324,(X),(X),(X),(X),36.6,(X)
