OBJECTID,A_NUMBER,A_TYPE,A_DATE,A_STATUS,A_STATUS_DATE,A_PROJECT_NAME,A_DESCRIPTION,A_USER_ID,A_CASE_PLANNER,CODE,DESCR,CODE_1,DESCR_1,USER_NAME,EMAIL,ORIG_FID,CreationDate,Creator,EditDate,Editor,x,y
12,COA1700068,PL_MJ_COA,7/7/2017 12:00:00 AM,APP,9/15/2017 5:35:13 PM,1110 Wall Street,New Construction,KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,12,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2033475.77624322,815203.547656238
16,D1900246,PL_MINSP,7/25/2019 2:35:17 PM,APP,2/28/2020 10:45:53 AM,Tru by Hilton Hotel,"Construct 4 story, 98 room hotel, parking and appurtenances",AMANDAHO,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,16,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2044848.40085261,775163.066015601
37,Z1400003,D_REZ,2/21/2014 7:42:43 AM,APP,8/5/2014 9:56:13 AM,2919 Fayetteville Street,"allow retail/commercial uses in existing structure
no development plan",JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,37,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2027721.21843073,805744.938281238
50,D1200040,PL_SSP_SM,2/28/2012 9:27:43 AM,APP,4/4/2012 3:29:07 PM,Duke Student Activity Center Walkways,"Provide new asphalt path from campus drive to building, provide additional walk at parking.  0.05 acres disturbed.",JEANETTEBR,LHODGES,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,50,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2023483.75046198,818605.826562479
57,D2200035,PL_MINSP,2/11/2022 11:24:15 AM,APP,5/15/2022 5:50:03 PM,Alexander Industrial Park - Building 3,"Proposal of 1 story ,40,950 SF of warehouse with accessory office & associate parking, stormwater, utilities and landscaping. ",COLERE,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,57,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2051101.01999323,788077.191406235
64,D1800278,PL_MINSP,8/21/2018 10:29:55 AM,APP,1/17/2019 2:24:07 PM,Southeast Regional Lift Station,"Construction of pump station, accessory structures, and roadway",KIMRO,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,64,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2067483.71257135,807846.063671857
77,COA0900023,PL_MJ_COA,5/4/2009 12:00:00 AM,APP,6/3/2009 11:04:41 AM,1219 West Broad Street (NCSSM Campus),Additions to building,SCRUSE,,APP,Approved,PL_MJ_COA,Major COA,,,77,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2023452.58522761,825903.047656238
82,D0900190,PL_SSP_SM,8/10/2009 8:16:06 AM,APP,11/5/2009 10:02:04 AM,Duke Wallace Wade Stadium Improvements-Amendment,Revised sidewalk locations within public right of way along Duke University Road associated with the Wallace Wade Stadium imrpovements ,JEANETTEBR,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,82,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2015697.85632135,817927.700781226
86,D1200020,PL_SSP_SM,1/31/2012 10:10:50 AM,APP,3/19/2012 7:15:16 AM,Triangle Metro Northwest Residential Finsbury I,Modify approved footprint for 26 apartment units. Modificaiton of elevations for building D.,JEANETTEBR,GSHERRON,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,86,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2040287.21296199,776000.055078104
91,D2000291,PL_MINSP,12/2/2020 12:08:18 PM,APP,9/3/2021 8:08:29 AM,Umstead Grove Conservation Subdivision,"50 Single - family lots, 1 stormwater pond, ad associated infrastructure",JESSICADO,COURTNEYMC,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Courtney McQueen,Courtney.McQueen@durhamnc.gov,91,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2016072.96999323,846210.372656226
93,COA1400097,PL_MJ_COA,7/30/2014 12:00:00 AM,APP,9/4/2014 10:26:17 AM,315 East Chapel Hill Street - Modifications,Amendment to COA1200111 to include an addition of a metal canopy on the roof top,SYOUNG,AKRAMER,APP,Approved,PL_MJ_COA,Major COA,,,93,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029297.0446026,817886.649609357
95,COA1600091,PL_MJ_COA,8/30/2016 2:16:51 PM,APP,11/4/2016 11:44:15 PM,319 E Chapel Hill St - Modifications and Sign,"Replacement of veneer panels, storefront and transom. Addition of shading louvers at the second floor window on the front facade. Scope of work revised to include only change of veneer to brick with frieze and medallions around existing storefront.",KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,95,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029351.07233699,817886.978906229
