housing_type,parcel_ct,du_est_final,dps_avg_k12,sgr_dps_avg_k12,sgr_dps_avg_k12_es,sgr_dps_avg_k12_ms,sgr_dps_avg_k12_hs
age_restrict,60,2617,11.5,0.00439434452,0.00219717226,0.0008788689156,0.001318303403
condo,231,3182,273.75,0.08603079617,0.04301539809,0.01720615849,0.0258092396
du_tri,2206,4658,1084,0.2327179015,0.1163589507,0.04654357955,0.06981536746
hud,140,1268,785.25,0.6192823052,0.3096411526,0.1238564625,0.1857846975
manuf,787,1160,519.5,0.4478448331,0.2239224166,0.08956896514,0.134353444
mf_apt,843,45031,8446.25,0.1875652373,0.09378261864,0.03751304746,0.05626957119
non-res,23081,0,106.75,,,,
sf_attach,16056,16097,1157.25,0.07189227641,0.0359461382,0.01437845547,0.02156768367
sf_detach,78776,78828,18890.75,0.2396451831,0.1198225915,0.04792903736,0.07189355791
temp,259,1167,125.25,0.1073264778,0.05366323888,0.02146529593,0.03219794482
